AA,2441,1045
AS,746,147
B6,1159,215
DL,2449,829
EV,2366,391
F9,822,63
HA,310,51
MQ,939,204
NK,454,79
OO,2048,384
UA,1579,722
US,960,352
VX,319,57
WN,6672,705
